Turtle ID,Date,GPS_Y,GPS_X,Species,SCL Min cm,SCL Standard cm,CCL Min cm,Tissue Type,d15N,d13C ,d34S
3,5/6/2016,28.84258,-82.76115,Cm,26.4,26.5,28.9,Epi shoulder,7.12,-12.98,3.33
7,5/6/2016,28.8406,-82.76022,Cm,32.9,33.4,35.3,Epi shoulder,6.48,-14.35,6.6
8,5/7/2016,28.81637,-82.7864,Cm,50.3,51.2,55.7,Epi shoulder,5.79,-14.74,4.75
9,5/7/2016,28.80705,-82.7827,Lk,35.1,35.6,37.6,Epi shoulder,8.49,-15.09,5.84
10,5/7/2016,28.81045,-82.77908,Cm,32.9,33.4,34.9,Epi shoulder,7.68,-14.61,1.43
11,5/7/2016,28.81685,-82.77225,Cm,29.6,30,31.9,Epi shoulder,6.55,-13.77,9.53
12,5/7/2016,28.81668,-82.7705,Cm,32.3,32.6,34.3,Epi shoulder,7.84,-18.34,15.94
13,5/8/2016,28.84272,-82.7538,Lk,47.2,47.9,50.2,Epi shoulder,5.89,-13.01,2.03
17,5/8/2016,28.80692,-82.79057,Lk,48.1,49,52.3,Epi shoulder,8.31,-14.47,8.03
18,5/8/2016,28.80117,-82.79262,Lk,47.5,48.1,50.5,Epi shoulder,8.31,-12.55,5.8
19,5/8/2016,28.80048,-82.79225,Lk,34.5,35,36.4,Epi shoulder,6.72,-14.32,12.28
21,5/8/2016,28.84338,-82.74792,Lk,47.5,48,51.9,Epi shoulder,6.91,-13.22,7.01
22,5/9/2016,28.77213,-82.76925,Lk,44,45,47.5,Epi shoulder,7.92,-14.56,5.55
23,5/9/2016,28.77082,-82.77095,Cm,40.5,41.2,43.5,Epi shoulder,5.98,-15.16,5.79
25,5/9/2016,28.76453,-82.76088,Cm,45.6,46.2,49.6,Epi shoulder,5.65,-12.92,6.28
26,5/9/2016,28.76745,-82.76068,Cm,55.5,57.1,61.4,Epi shoulder,6.3,-12.82,3.54
27,5/9/2016,28.77752,-82.75888,Cm,33.2,33.9,36.5,Epi shoulder,7.45,-13.45,3.36
28,5/9/2016,28.78318,-82.75717,Cm,40.7,41.1,43.6,Epi shoulder,5.79,-13.86,5.45
34,5/11/2016,28.84187,-82.75198,Lk,48.3,49,53.5,Epi shoulder,6.87,-13.05,8.39
36,5/11/2016,28.84143,-82.74583,Cm,32.4,32.9,35.6,Epi shoulder,7.9,-15.1,9.33
37,5/11/2016,28.84097,-82.75022,Cm,43.8,44.5,47,Epi shoulder,3.62,-12.5,11.14
40,5/11/2016,28.84098,-82.74628,Lk,35.8,36.5,39.5,Epi shoulder,7.47,-15.47,4.93
43,5/12/2016,28.8436,-82.74967,Lk,46.1,46.9,49.4,Epi shoulder,5.69,-14.39,11.57
45,5/12/2016,28.84697,-82.7537,Lk,49.4,50.2,52.2,Epi shoulder,6.99,-14.73,6.38
47,8/3/2016,28.76382,-82.73705,Cc,70.2,71.4,75.1,Epi shoulder,4.7,-12.35,4.99
48,8/3/2016,28.77715,-82.75333,Cm,34.7,35.5,38.5,Epi shoulder,6.79,-13.42,10.31
49,8/3/2016,28.7801,-82.75578,Cm,52.8,53.3,59,Epi shoulder,4.34,-12.87,3.83
50,8/16/2016,28.76927,-82.75942,Cm,47.5,48.9,51.1,Epi shoulder,5,-13.13,4.58
52,8/16/2016,28.79073,-82.76076,Lk,47.2,47.8,50.3,Epi shoulder,6.2,-11.43,5.09
54,8/16/2016,28.79428,-82.75911,Cm,36.4,37.3,39.8,Epi shoulder,6.58,-14.23,7.64
56,8/17/2016,28.77272,-82.74476,Cm,25.1,25.5,27.5,Epi shoulder,7.06,-13.17,7.04
57,8/17/2016,28.77186,-82.74547,Cm,32,32.7,36.2,Epi shoulder,5.01,-13.55,1.82
58,8/17/2016,28.77387,-82.75589,Lk,44.6,45.3,48.5,Epi shoulder,6.55,-13.28,1.11
59,8/17/2016,28.77387,-82.755,Cc,91.2,93.2,98,Epi shoulder,6.42,-13.28,7.24
60,8/17/2016,28.77464,-82.75583,Cm,33.9,34.6,37.8,Epi shoulder,7.06,-13.56,2.1
