Species,d13C,d15N,d34S
Cc,-12.35,4.7,4.99
Cc,-13.28,6.42,7.24
Cc,-12.74,6.98,6.25
Cc,-15.68,6.7,3.75
Cc,-12.55,7.01,5.36
Cc,-13.26,7.04,4.58
Cc,-14.55,8.11,7.57
Cc,-15.5,7.79,13.09
Cc,-14.32,7.27,14.37
Cc,-15.45,7.08,7.56
Cc,-15.69,8.52,13.67
Cc,-13.72,4.75,14.29
Cc,-14.12,6.77,13.93
Cc,-14.33,6.7,12.73
Cc,-13.9,8.25,9.53
Cc,-14.99,6.16,10.85
Cc,-14.61,6.42,6.95
Cc,-15.71,5.87,14.7
Cc,-15.66,11.7,13.8
Cc,-14.22,6.97,14.52
Cc,-14.19,7.55,12.23
Cc,-14.01,8.04,11.68
Cc,-14.25,6.82,13.45
Cc,-14.05,6.72,22.34
Cc,-15.68,7.79,12.73
Cc,-14.82,5.41,7.51
Cc,-14.94,10.3,17.71
Cc,-14.05,6.07,20.24
Cc,-12.75,6.98,12.98
Cc,-13.63,6.15,2.93
Cc,-13.87,7.1,4.92
Cc,-14.7,9.62,9.26
Cc,-14.68,7.95,9.22
Cc,-15.03,10.62,11.48
Cc,-14.79,8.14,6.16
Cc,-16.1,9.88,11.16
Cc,-14.06,6.82,5.03
Cc,-14.45,6.41,4.58
Cc,-11.29,6.39,6.99
Cc,-14.54,6.26,5.92
Cc,-14.26,8.26,8.58
Cc,-13.03,4.92,4
Cc,-14.56,4.62,4.47
Cc,-15.7,11.4,7.43
Cc,-13.96,7.09,6.21
Cc,-14.63,7.52,6.52
Cc,-15.78,10.89,13.84
Cc,-12.51,6.99,5.5
Cc,-14.17,6.47,8.2
Cc,-13.63,7.48,8.38
Cc,-14.71,7.41,6.01
Cc,-12.59,8.62,8.75
Cc,-13.82,7.52,5.48
Cc,-12.54,5.67,3.04
Cc,-13.03,8.08,7.74
Cc,-15.35,8.14,9.54
Cc,-14.71,10.8,16.59
Cc,-14.55,6.9,7.421915529
Cc,-14.73,7.44,9.866583171
Cc,-14.85,10.04,4.949280451
Cc,-13.39,6.54,6.284052322
Cc,-18.03,11.07,17.7644064
Cc,-15.88,11.28,15.3263621
Cc,-16.88,8.29,10.2
Cc,-14.17,7.25,15.83305122
Cc,-16.91,10.05,22.13713898
Cc,-15.55,7.73,6.9
Cc,-16.34,8.48,10.66
Cc,-14.52,8.16,8.06
Cc,-13.06,10.6,8.31
Cc,-16.87,9.94,16.82
Cc,-14.85,7.54,11.32
Cc,-15.39,6.94,6.32
Cc,-16.1,7.01,6.32
Cc,-12.61,6.78,6.13
Cc,-17.68,9.95,16.69
Cc,-15.92,8.48,10.37
Cc,-16.71,9.31,13.15
Cc,-15.68,7.46,9.74
Cc,-11.62,6.08,5.02
Cc,-15.77,8.56,9.85
Cc,-14.58,6.79,5.34
Cc,-15.53,9.99,11.59
Cc,-14.47,9.05,13.99
Cc,-14.92,7.67,6.29
Cc,-14.42,7.44,12.01
Cc,-15.64,7.55,7.42
Cc,-16.87,7.99,12.1
Cc,-15.45,6.99,4.82
Cc,-15.44,7.44,7.45
Cc,-12.91,6.53,4.46
Cc,-14.65,7.85,9.33
Cc,-15.27724991,7.959015877,8.758657215
